id_libro,Unidad,Titulo,Autor,Clasificacion
49689,1,ANTOLOGiA SOBRE TEORiA GENERAL DE SISTEMAS,"MAULEON YANEZ, MANUEL ENRIQUE",Q 295 M447
46863,1,CONTABILIDAD BASICA PARA CONSTRUCTORES,"LEAL IGA, CARLOS",HF 5686.B7 L435
49688,1,MAPAS MENTALES PASO A PASO,MONTES G. ZORAIDA DE,BF 316.6 M779
46859,1,ESTRUCTURAS DE DATOS Y ALGORITMOS,"WEISS, MARK ALLEN",QA 9.58 W429
53145,1,ALGEBRA,"BELLO, IGNACIO",QA 154.2 B446
46862,1,TECNICAS ACTUALES DE INVESTIGACION DOCUMENTAL,,HD 30.4 T255
51342,1,MAQUINAS ELECTRICAS Y TRANSFORMADORES,KOSOW IRVING L.,TK 2181 K86
53166,1,MECANICA DE SOLIDOS,"POPOV, EGOR",TA 350 P829
53024,1,C# PARA ESTUDIANTES,"BELL, DOUGLAS",QA 76.73.C153 B434
53211,1,CALCULO : TRASCENDENTES TEMPRANAS,"STEWART, JAMES",QA 304 S799
53010,1,OPERACIONES DE TRANSFERENCIA DE MASA,"TREYBAL, ROBERT E.",TP 156.M3 T817
53011,1,PSICOLOGiA INDUSTRIAL,"DUNNETTE, MARVIN D.",HF 5548.8 D923
53012,1,OPERACIONES DE TRANSFERENCIA DE MASA,"TREYBAL, ROBERT E.",TP 156.M3 T817
53013,1,DICCIONARIO DE INFORMATICA E INTERNET DE MICROSOFT,MICROSOFT CORPORATION,QA 76.15 M618
51343,1,MANUAL DE DERECHO AMBIENTAL MEXICANO,BRANES RAUL,HN 208 B816
53037,1,METROLOGiA GEOMETRICA DIMENSIONAL,,TJ 1313 M588
53016,1,"FUENTES DE ENERGiA, RENOVABLES Y NO RENOVABLES : A","VEGA DE KUYPER, JUAN CARLOS",TJ 808 V422
53053,1,LOGiSTICA : MEJORES PRACTICAS EN LATINOAMERICA,"CARRANZA, OCTAVIO",HD 38.5 C311
51341,1,MAQUINAS ELECTRICAS Y TRANSFORMADORES,KOSOW IRVING L.,TK 2181 K86
51340,1,MAQUINAS ELECTRICAS,"FITZGERALD, A.E.",TK 2181 F554
5302,1,SOBERANIA EN PELIGRO : LA DIFUSION MULTINACIONAL D,"VERNON, RAYMOND",HG 4027.5 V543
53021,1,INGENIERiA Y CIENCIAS AMBIENTALES,"DAVIS, MACKENZIE L.",TD 145 D249
53039,1,BROCK : BIOLOGIA DE LOS MICROORGANISMOS,"MADIGAN, MICHAEL",QR 46 M182
5303,1,METODOS NUMERICOS,"LUTHE, RODOLFO",QA 297 L973
53036,1,INTRODUCCION AL ANALISIS DE FOURIER Y LAS ONDOLETA,"PINSKY, MARK A.",QA 403.5 P658
53035,1,TRIGONOMETRiA,"SWOKOWSKI, EARL",QA 531 S976
53015,1,INGENIERiA DE CONTROL MODERNA,"OGATA, KATSUHIKO",TJ 213 O34
51314,1,INTRODUCCION A LA TEORiA DE PROBABILIDADES Y SUS A,"FELLER, WILLIAM",QA 273.A5 F318
53046,1,DESARROLLO DE PROYECTOS CON PROGRAMACION ORIENTADA,"SMITH, JO ANN",QA 76.73C153 S642
53047,1,MICROCONTROLADORES PIC : LA CLAVE DEL DISENO,,TK 7868 M379
53048,1,MICROCONTROLADORES PIC : LA CLAVE DEL DISENO,,TK 7868 M379
53049,1,INTRODUCCION A LA INFORMATICA : MODELOS DE COMPUTO,"LLAMAS BELLO, CESAR",QA 76 L791
51338,1,ANALISIS Y OPERACION DE SISTEMAS DE ENERGIA ELECTR,"GOMEZ EXPOSITO, ANTONIO",TK 1001 G633
53038,1,PROBLEMAS DE BALANCES DE MATERIA,"VALIENTE, ANTONIO",TP 155.7 V172
